timestamp,temp_c,humidity_pct,co2_ppm,ph,ec_ms_cm,biomass_g,water_consumption_l,power_consumption_w
2026-01-02T08:00:00,25.88,79.5,1183,5.94,1.77,0.6438,0.1143,58.66
2026-01-02T09:00:00,24.71,82.7,1137,5.92,1.76,0.5019,0.1136,57.07
2026-01-02T10:00:00,25.2,77.1,1118,5.92,1.82,0.538,0.108,55.0
2026-01-02T11:00:00,24.18,76.0,1036,5.97,1.74,0.5077,0.1021,52.59
2026-01-02T12:00:00,24.46,74.7,979,6.09,1.76,0.5693,0.1015,50.0
2026-01-02T13:00:00,23.75,73.4,936,5.94,1.79,0.542,0.0968,47.41
2026-01-02T14:00:00,23.27,70.3,870,5.92,1.79,0.6558,0.0909,45.0
2026-01-02T15:00:00,22.51,71.6,883,5.99,1.83,0.6424,0.0895,42.93
2026-01-02T16:00:00,21.61,71.4,855,5.92,1.82,0.5292,0.0857,41.34
2026-01-02T17:00:00,22.18,71.1,806,6.01,1.83,0.5162,0.0876,40.34
2026-01-02T18:00:00,22.2,69.3,847,6.14,1.74,0.4958,0.0855,40.0
2026-01-02T19:00:00,21.86,68.6,810,5.94,1.86,0.7207,0.0833,40.34
2026-01-02T20:00:00,21.67,71.4,828,6.02,1.73,0.5124,0.086,41.34
2026-01-02T21:00:00,21.64,71.7,860,5.97,1.72,0.3956,0.0862,42.93
2026-01-02T22:00:00,22.85,73.5,926,6.01,1.77,0.7521,0.0933,45.0
2026-01-02T23:00:00,23.16,73.1,937,6.04,1.87,0.427,0.0941,47.41
2026-01-03T00:00:00,24.18,73.3,1002,5.9,1.82,0.4055,0.0985,50.0
2026-01-03T01:00:00,24.11,76.8,1029,6.06,1.72,0.7217,0.1028,52.59
2026-01-03T02:00:00,24.35,78.3,1117,5.96,1.79,0.5106,0.1059,55.0
2026-01-03T03:00:00,25.45,77.6,1155,6.19,1.81,0.5781,0.1097,57.07
2026-01-03T04:00:00,26.08,79.9,1174,5.97,1.82,0.633,0.1157,58.66
2026-01-03T05:00:00,25.23,79.2,1163,6.05,1.8,0.6429,0.111,59.66
2026-01-03T06:00:00,27.15,80.8,1195,6.0,1.72,0.5378,0.1218,60.0
2026-01-03T07:00:00,25.59,81.4,1202,6.09,1.83,0.6424,0.1158,59.66
2026-01-03T08:00:00,26.16,79.7,1186,5.98,1.9,0.4952,0.1159,58.66
2026-01-03T09:00:00,25.43,79.4,1178,5.95,1.78,0.5745,0.1122,57.07
2026-01-03T10:00:00,25.1,76.0,1136,5.81,1.65,0.5127,0.106,55.0
2026-01-03T11:00:00,24.42,74.9,1017,6.19,1.83,0.5215,0.1017,52.59
2026-01-03T12:00:00,23.51,76.0,1003,6.09,1.85,0.5821,0.0992,50.0
2026-01-03T13:00:00,23.83,73.8,921,5.95,1.83,0.4939,0.0978,47.41
2026-01-03T14:00:00,22.87,72.7,906,5.92,1.77,0.5052,0.0924,45.0
2026-01-03T15:00:00,22.16,70.2,834,5.98,1.81,0.6038,0.0865,42.93
2026-01-03T16:00:00,22.91,71.1,808,5.97,1.74,0.788,0.0905,41.34
2026-01-03T17:00:00,22.13,70.3,792,6.12,1.91,0.5759,0.0865,40.34
2026-01-03T18:00:00,22.17,69.9,779,5.96,1.77,0.6936,0.086,40.0
2026-01-03T19:00:00,22.12,70.5,822,5.86,1.82,0.4867,0.0866,40.34
2026-01-03T20:00:00,21.65,71.6,814,5.97,1.8,0.5271,0.0861,41.34
2026-01-03T21:00:00,23.22,71.6,857,6.03,1.69,0.5184,0.0923,42.93
2026-01-03T22:00:00,23.48,71.4,902,6.02,1.88,0.4799,0.0931,45.0
2026-01-03T23:00:00,23.42,72.3,923,6.07,1.69,0.5635,0.0941,47.41
2026-01-04T00:00:00,23.74,75.2,966,5.89,1.77,0.6011,0.0992,50.0
2026-01-04T01:00:00,24.3,75.6,1092,5.81,1.85,0.7381,0.102,52.59
2026-01-04T02:00:00,25.29,78.5,1090,5.92,1.74,0.6237,0.1103,55.0
2026-01-04T03:00:00,25.05,78.2,1158,6.03,1.74,0.7165,0.1089,57.07
2026-01-04T04:00:00,25.42,77.8,1182,6.02,1.86,0.6435,0.1099,58.66
2026-01-04T05:00:00,26.34,79.5,1203,5.97,1.73,0.6582,0.1164,59.66
2026-01-04T06:00:00,26.37,80.3,1152,6.14,1.85,0.714,0.1177,60.0
2026-01-04T07:00:00,25.97,78.3,1196,6.11,1.77,0.4492,0.113,59.66
2026-01-04T08:00:00,25.77,78.6,1168,6.02,1.83,0.6936,0.1126,58.66
2026-01-04T09:00:00,25.55,79.3,1185,5.99,1.74,0.7303,0.1125,57.07
2026-01-04T10:00:00,24.94,78.9,1069,6.03,1.81,0.6833,0.1093,55.0
2026-01-04T11:00:00,24.96,76.5,1038,6.19,1.83,0.7752,0.1061,52.59
2026-01-04T12:00:00,23.74,75.7,999,6.0,1.73,0.5655,0.0998,50.0
2026-01-04T13:00:00,22.68,73.8,959,5.91,1.81,0.4864,0.093,47.41
2026-01-04T14:00:00,23.32,73.7,958,6.27,1.81,0.6271,0.0955,45.0
2026-01-04T15:00:00,22.18,70.2,827,6.05,1.76,0.4254,0.0864,42.93
2026-01-04T16:00:00,21.77,70.7,802,6.11,1.8,0.6074,0.0855,41.34
2026-01-04T17:00:00,22.86,69.8,811,6.0,1.79,0.4156,0.0886,40.34
2026-01-04T18:00:00,22.14,69.5,803,5.96,1.89,0.6314,0.0855,40.0
2026-01-04T19:00:00,21.74,71.2,808,6.07,1.79,0.5655,0.086,40.34
2026-01-04T20:00:00,22.49,70.9,830,5.92,1.82,0.5291,0.0886,41.34
2026-01-04T21:00:00,22.16,71.1,862,5.94,1.83,0.5638,0.0875,42.93
2026-01-04T22:00:00,22.6,71.9,888,5.93,1.82,0.8201,0.0903,45.0
2026-01-04T23:00:00,23.29,73.8,963,6.07,1.85,0.6716,0.0954,47.41
2026-01-05T00:00:00,24.23,73.0,992,6.2,1.82,0.4285,0.0983,50.0
2026-01-05T01:00:00,23.49,75.2,1087,5.91,1.83,0.6824,0.0982,52.59
2026-01-05T02:00:00,24.96,78.8,1119,5.88,1.78,0.5152,0.1092,55.0
2026-01-05T03:00:00,25.17,78.2,1143,6.05,1.8,0.6452,0.1093,57.07
2026-01-05T04:00:00,25.95,77.2,1171,5.95,1.82,0.5812,0.1113,58.66
2026-01-05T05:00:00,26.3,79.1,1203,6.03,1.77,0.5495,0.1156,59.66
2026-01-05T06:00:00,25.96,81.4,1246,6.15,1.89,0.663,0.1175,60.0
2026-01-05T07:00:00,25.96,79.9,1203,6.02,1.79,0.6239,0.1152,59.66
2026-01-05T08:00:00,25.77,78.5,1193,5.93,1.8,0.589,0.1124,58.66
2026-01-05T09:00:00,25.59,80.0,1155,6.16,1.83,0.6432,0.1137,57.07
2026-01-05T10:00:00,25.44,77.9,1126,6.13,1.81,0.5916,0.1101,55.0
2026-01-05T11:00:00,24.68,75.6,1027,6.02,1.84,0.6155,0.1037,52.59
2026-01-05T12:00:00,23.94,74.8,1051,6.07,1.85,0.6534,0.0995,50.0
2026-01-05T13:00:00,23.56,73.9,931,5.98,1.71,0.7567,0.0967,47.41
2026-01-05T14:00:00,23.32,72.5,884,5.97,1.8,0.4879,0.0939,45.0
2026-01-05T15:00:00,23.44,70.0,851,6.04,1.81,0.6088,0.0911,42.93
2026-01-05T16:00:00,20.76,69.7,819,5.87,1.78,0.6712,0.0804,41.34
2026-01-05T17:00:00,21.82,69.0,808,6.1,1.8,0.5465,0.0837,40.34
2026-01-05T18:00:00,21.54,70.2,786,6.07,1.81,0.4782,0.0841,40.0
2026-01-05T19:00:00,21.74,70.5,792,6.08,1.81,0.6044,0.0851,40.34
2026-01-05T20:00:00,21.93,71.0,810,5.98,1.82,0.6372,0.0865,41.34
2026-01-05T21:00:00,22.67,72.7,889,6.01,1.78,0.5629,0.0915,42.93
2026-01-05T22:00:00,23.31,73.3,907,5.9,1.85,0.7338,0.0949,45.0
2026-01-05T23:00:00,23.19,74.0,928,5.98,1.78,0.6563,0.0954,47.41
2026-01-06T00:00:00,24.8,74.2,956,6.02,1.82,0.6095,0.1023,50.0
2026-01-06T01:00:00,23.78,75.9,1050,5.93,1.77,0.6847,0.1002,52.59
2026-01-06T02:00:00,25.27,78.0,1074,5.95,1.83,0.4767,0.1095,55.0
2026-01-06T03:00:00,25.49,80.4,1136,6.13,1.8,0.7752,0.1138,57.07
2026-01-06T04:00:00,26.13,79.3,1166,6.04,1.78,0.7939,0.1151,58.66
2026-01-06T05:00:00,25.2,80.2,1163,6.01,1.81,0.4552,0.1123,59.66
2026-01-06T06:00:00,26.34,78.6,1179,5.92,1.73,0.6407,0.115,60.0
2026-01-06T07:00:00,25.46,79.5,1221,5.87,1.76,0.5825,0.1124,59.66
2026-01-06T08:00:00,25.26,80.9,1202,5.94,1.87,0.6815,0.1135,58.66
2026-01-06T09:00:00,25.46,80.3,1112,6.05,1.85,0.6825,0.1135,57.07
2026-01-06T10:00:00,25.14,78.5,1116,6.03,1.69,0.733,0.1097,55.0
2026-01-06T11:00:00,24.27,76.5,1045,6.12,1.74,0.6908,0.1031,52.59
2026-01-06T12:00:00,23.69,76.5,1023,5.91,1.82,0.7916,0.1007,50.0
2026-01-06T13:00:00,22.1,72.8,941,5.9,1.8,0.605,0.0894,47.41
2026-01-06T14:00:00,23.08,73.4,888,6.1,1.76,0.6297,0.0941,45.0
2026-01-06T15:00:00,23.16,73.1,846,6.13,1.79,0.577,0.0941,42.93
2026-01-06T16:00:00,21.64,72.3,818,6.03,1.72,0.7774,0.0869,41.34
2026-01-06T17:00:00,21.42,69.8,801,5.8,1.7,0.4343,0.0831,40.34
2026-01-06T18:00:00,23.2,71.2,777,5.91,1.79,0.7083,0.0918,40.0
2026-01-06T19:00:00,21.38,68.9,810,6.07,1.75,0.6238,0.0818,40.34
2026-01-06T20:00:00,22.24,73.3,826,5.93,1.77,0.6052,0.0905,41.34
2026-01-06T21:00:00,23.56,71.6,828,5.94,1.81,0.6893,0.0938,42.93
2026-01-06T22:00:00,22.8,72.9,901,6.0,1.85,0.7032,0.0923,45.0
2026-01-06T23:00:00,23.84,73.7,944,6.04,1.78,0.6006,0.0976,47.41
2026-01-07T00:00:00,24.27,75.7,986,5.97,1.81,0.8623,0.1021,50.0
2026-01-07T01:00:00,24.83,75.8,1086,6.0,1.79,0.7781,0.1046,52.59
2026-01-07T02:00:00,25.5,78.5,1103,5.76,1.8,0.6721,0.1112,55.0
2026-01-07T03:00:00,25.64,80.0,1150,6.19,1.83,0.7067,0.114,57.07
2026-01-07T04:00:00,26.27,78.5,1196,5.88,1.79,0.7702,0.1145,58.66
2026-01-07T05:00:00,25.58,81.3,1233,6.08,1.77,0.7027,0.1156,59.66
2026-01-07T06:00:00,26.0,81.0,1194,6.08,1.75,0.6217,0.1171,60.0
2026-01-07T07:00:00,25.56,79.3,1184,6.05,1.79,0.6607,0.1126,59.66
2026-01-07T08:00:00,25.09,79.0,1201,6.05,1.77,0.6965,0.1101,58.66
2026-01-07T09:00:00,24.96,77.6,1145,6.09,1.8,0.7256,0.1076,57.07
2026-01-07T10:00:00,24.72,78.1,1090,6.07,1.74,0.605,0.1072,55.0
2026-01-07T11:00:00,24.45,77.3,1065,6.11,1.82,0.5098,0.1049,52.59
2026-01-07T12:00:00,23.88,75.2,1019,6.08,1.77,0.8811,0.0997,50.0
2026-01-07T13:00:00,24.14,73.4,920,5.89,1.81,0.6186,0.0985,47.41
2026-01-07T14:00:00,23.14,74.5,907,6.0,1.77,0.5871,0.0957,45.0
2026-01-07T15:00:00,22.39,71.5,868,6.14,1.78,0.7159,0.0889,42.93
2026-01-07T16:00:00,21.83,70.2,792,6.04,1.73,0.6355,0.0851,41.34
2026-01-07T17:00:00,21.75,68.4,802,6.07,1.8,0.5806,0.0827,40.34
2026-01-07T18:00:00,21.63,69.8,812,5.93,1.86,0.5275,0.0838,40.0
2026-01-07T19:00:00,21.68,69.6,802,5.87,1.7,0.6837,0.0838,40.34
2026-01-07T20:00:00,22.53,70.7,827,5.96,1.87,0.8229,0.0885,41.34
2026-01-07T21:00:00,23.07,72.1,890,6.14,1.79,0.6296,0.0924,42.93
2026-01-07T22:00:00,23.24,72.4,909,6.0,1.78,0.7587,0.0935,45.0
2026-01-07T23:00:00,23.82,72.5,904,5.94,1.82,0.8255,0.0959,47.41
2026-01-08T00:00:00,25.16,77.2,964,6.0,1.76,0.898,0.1079,50.0
2026-01-08T01:00:00,24.16,74.9,1070,5.93,1.82,0.8871,0.1005,52.59
2026-01-08T02:00:00,25.64,74.7,1107,5.96,1.94,0.6216,0.1065,55.0
2026-01-08T03:00:00,25.67,79.5,1115,6.01,1.81,0.7653,0.1134,57.07
2026-01-08T04:00:00,25.35,81.4,1185,6.1,1.75,0.7336,0.1146,58.66
2026-01-08T05:00:00,25.21,79.3,1212,5.99,1.73,0.693,0.111,59.66
2026-01-08T06:00:00,25.63,80.3,1207,6.02,1.8,0.5937,0.1143,60.0
2026-01-08T07:00:00,26.72,80.9,1167,6.05,1.84,0.8604,0.1201,59.66
2026-01-08T08:00:00,26.23,78.2,1152,6.12,1.76,0.7725,0.114,58.66
2026-01-08T09:00:00,25.6,78.0,1140,6.09,1.78,0.613,0.111,57.07
2026-01-08T10:00:00,25.38,78.6,1124,6.12,1.79,0.7213,0.1108,55.0
2026-01-08T11:00:00,25.02,76.9,1063,5.99,1.82,0.7912,0.1069,52.59
2026-01-08T12:00:00,23.97,76.2,982,5.87,1.77,0.7255,0.1014,50.0
2026-01-08T13:00:00,22.54,74.4,946,6.17,1.8,0.7917,0.0932,47.41
2026-01-08T14:00:00,23.31,72.4,916,6.05,1.81,0.7751,0.0938,45.0
2026-01-08T15:00:00,23.31,71.1,843,5.91,1.9,0.6873,0.0921,42.93
2026-01-08T16:00:00,21.81,70.0,834,5.78,1.82,0.7934,0.0848,41.34
2026-01-08T17:00:00,21.73,70.4,804,5.86,1.8,0.8111,0.085,40.34
2026-01-08T18:00:00,22.02,71.4,797,6.0,1.76,0.7322,0.0874,40.0
2026-01-08T19:00:00,22.92,69.1,792,6.05,1.79,0.8922,0.0879,40.34
2026-01-08T20:00:00,23.47,71.8,843,6.07,1.68,0.6658,0.0936,41.34
2026-01-08T21:00:00,23.42,71.1,855,5.95,1.79,0.7877,0.0925,42.93
2026-01-08T22:00:00,23.76,73.9,876,5.96,1.71,0.7604,0.0976,45.0
2026-01-08T23:00:00,24.27,73.1,966,6.1,1.8,0.7914,0.0986,47.41
2026-01-09T00:00:00,24.37,74.7,1025,6.05,1.87,0.7988,0.1011,50.0
2026-01-09T01:00:00,23.73,75.4,1047,6.02,1.85,0.6636,0.0994,52.59
2026-01-09T02:00:00,24.87,76.4,1116,5.92,1.82,0.6996,0.1055,55.0
2026-01-09T03:00:00,25.22,78.3,1147,6.02,1.84,0.6708,0.1096,57.07
2026-01-09T04:00:00,26.22,80.3,1195,6.04,1.81,0.5472,0.1169,58.66
2026-01-09T05:00:00,25.74,79.1,1164,6.02,1.8,0.7975,0.1131,59.66
2026-01-09T06:00:00,26.35,80.2,1207,6.08,1.93,0.7016,0.1174,60.0
2026-01-09T07:00:00,25.31,78.0,1210,6.18,1.75,0.6115,0.1097,59.66
2026-01-09T08:00:00,25.85,81.1,1201,6.11,1.71,0.6605,0.1165,58.66
2026-01-09T09:00:00,24.93,76.5,1150,5.84,1.8,0.7965,0.106,57.07
2026-01-09T10:00:00,24.62,76.7,1111,6.04,1.72,0.873,0.1049,55.0
2026-01-09T11:00:00,23.35,77.9,1053,5.89,1.82,0.7254,0.1011,52.59
2026-01-09T12:00:00,23.56,75.5,1020,5.93,1.71,0.6748,0.0989,50.0
2026-01-09T13:00:00,23.82,73.8,963,6.0,1.89,0.834,0.0976,47.41
2026-01-09T14:00:00,23.06,72.5,896,5.92,1.78,0.8624,0.0928,45.0
2026-01-09T15:00:00,23.76,72.1,850,5.99,1.86,0.7638,0.0951,42.93
2026-01-09T16:00:00,21.92,71.3,837,5.9,1.83,0.7119,0.0868,41.34
2026-01-09T17:00:00,22.0,70.3,770,6.1,1.81,0.6711,0.0859,40.34
2026-01-09T18:00:00,21.22,71.1,801,5.98,1.79,0.9122,0.0838,40.0
2026-01-09T19:00:00,22.32,69.6,791,5.97,1.75,0.7872,0.0863,40.34
2026-01-09T20:00:00,22.97,70.8,831,6.01,1.83,0.8501,0.0904,41.34
2026-01-09T21:00:00,22.17,71.3,837,6.03,1.79,0.6432,0.0878,42.93
2026-01-09T22:00:00,23.67,71.2,921,5.87,1.79,0.7912,0.0936,45.0
2026-01-09T23:00:00,22.86,73.0,940,5.91,1.72,0.8057,0.0928,47.41
2026-01-10T00:00:00,23.88,75.0,986,6.01,1.79,0.842,0.0995,50.0
2026-01-10T01:00:00,23.83,76.8,1074,5.83,1.83,0.8508,0.1017,52.59
2026-01-10T02:00:00,25.88,77.7,1097,6.0,1.75,0.7888,0.1117,55.0
2026-01-10T03:00:00,24.58,78.2,1147,5.93,1.79,0.7725,0.1068,57.07
2026-01-10T04:00:00,26.39,77.8,1127,6.0,1.86,0.8466,0.1141,58.66
2026-01-10T05:00:00,25.97,80.6,1193,6.01,1.81,0.8247,0.1163,59.66
2026-01-10T06:00:00,26.69,79.9,1195,5.9,1.89,0.7913,0.1185,60.0
2026-01-10T07:00:00,25.72,78.3,1190,5.99,1.74,0.7777,0.1119,59.66
2026-01-10T08:00:00,25.94,80.0,1173,6.01,1.75,0.8937,0.1152,58.66
2026-01-10T09:00:00,25.6,79.8,1149,6.11,1.7,0.9174,0.1135,57.07
2026-01-10T10:00:00,23.94,78.8,1080,6.06,1.82,0.9006,0.1048,55.0
2026-01-10T11:00:00,24.89,75.8,1042,6.14,1.82,0.7204,0.1048,52.59
2026-01-10T12:00:00,23.2,75.3,995,5.97,1.73,0.9191,0.097,50.0
2026-01-10T13:00:00,23.21,73.4,969,5.99,1.79,0.8467,0.0946,47.41
2026-01-10T14:00:00,22.9,75.2,882,6.26,1.81,0.7796,0.0957,45.0
2026-01-10T15:00:00,21.94,71.2,855,5.93,1.7,0.6417,0.0868,42.93
2026-01-10T16:00:00,23.43,71.5,843,5.99,1.81,0.9161,0.0931,41.34
2026-01-10T17:00:00,21.69,71.2,831,5.99,1.81,0.6918,0.0858,40.34
2026-01-10T18:00:00,22.02,69.5,839,6.18,1.78,0.7038,0.085,40.0
2026-01-10T19:00:00,22.52,70.3,811,5.96,1.73,0.9463,0.0879,40.34
2026-01-10T20:00:00,21.35,71.3,866,5.87,1.84,0.9018,0.0846,41.34
2026-01-10T21:00:00,23.31,71.6,862,5.85,1.78,0.5764,0.0927,42.93
2026-01-10T22:00:00,21.84,72.8,900,5.92,1.82,0.8168,0.0884,45.0
2026-01-10T23:00:00,23.97,73.2,941,6.12,1.83,0.859,0.0975,47.41
2026-01-11T00:00:00,23.34,75.1,990,6.1,1.8,0.7957,0.0973,50.0
2026-01-11T01:00:00,24.68,75.8,1055,6.0,1.8,0.786,0.104,52.59
2026-01-11T02:00:00,25.25,76.2,1086,6.11,1.78,0.8561,0.1069,55.0
2026-01-11T03:00:00,24.65,80.4,1148,6.28,1.79,0.8715,0.1102,57.07
2026-01-11T04:00:00,25.8,79.6,1203,6.12,1.73,0.9216,0.1141,58.66
2026-01-11T05:00:00,25.26,79.2,1206,5.72,1.82,0.7391,0.1112,59.66
2026-01-11T06:00:00,26.06,80.7,1172,6.15,1.82,0.7253,0.1168,60.0
2026-01-11T07:00:00,26.68,79.8,1192,5.91,1.78,0.9422,0.1183,59.66
2026-01-11T08:00:00,25.96,78.8,1191,5.95,1.82,0.8249,0.1136,58.66
2026-01-11T09:00:00,25.76,78.0,1153,5.69,1.82,0.7408,0.1116,57.07
2026-01-11T10:00:00,24.35,77.1,1116,6.06,1.8,0.8395,0.1043,55.0
2026-01-11T11:00:00,24.45,77.6,1045,5.95,1.81,0.8174,0.1054,52.59
2026-01-11T12:00:00,23.38,76.6,973,6.02,1.81,0.8309,0.0995,50.0
2026-01-11T13:00:00,23.86,73.4,913,6.11,1.79,0.7991,0.0973,47.41
2026-01-11T14:00:00,22.96,72.1,912,6.01,1.79,0.79,0.092,45.0
2026-01-11T15:00:00,23.15,70.6,833,5.96,1.79,0.8799,0.0908,42.93
2026-01-11T16:00:00,22.9,72.1,802,5.89,1.82,0.7906,0.0918,41.34
2026-01-11T17:00:00,22.92,69.3,851,6.16,1.67,0.8413,0.0883,40.34
2026-01-11T18:00:00,22.62,69.9,808,6.07,1.69,0.7842,0.0878,40.0
2026-01-11T19:00:00,22.53,70.7,806,5.79,1.7,0.804,0.0885,40.34
2026-01-11T20:00:00,23.06,70.6,828,5.98,1.88,0.9619,0.0905,41.34
2026-01-11T21:00:00,22.57,70.5,884,5.68,1.81,0.7498,0.0884,42.93
2026-01-11T22:00:00,23.39,72.6,931,5.95,1.75,0.7463,0.0943,45.0
2026-01-11T23:00:00,23.71,74.8,978,5.92,1.7,0.9237,0.0985,47.41
2026-01-12T00:00:00,23.77,74.4,1018,6.06,1.71,0.8019,0.0983,50.0
2026-01-12T01:00:00,25.13,77.2,1081,6.1,1.78,0.9194,0.1078,52.59
2026-01-12T02:00:00,25.56,78.1,1096,6.03,1.72,0.7787,0.1109,55.0
2026-01-12T03:00:00,25.09,80.6,1145,6.06,1.76,0.9463,0.1123,57.07
2026-01-12T04:00:00,25.24,78.3,1164,6.05,1.78,0.7692,0.1097,58.66
2026-01-12T05:00:00,25.07,79.0,1209,6.08,1.82,0.8774,0.11,59.66
2026-01-12T06:00:00,26.52,80.2,1186,6.0,1.85,0.8131,0.1181,60.0
2026-01-12T07:00:00,26.2,79.1,1188,5.91,1.74,0.6756,0.1152,59.66
2026-01-12T08:00:00,25.96,80.0,1179,5.84,1.82,0.9928,0.1153,58.66
2026-01-12T09:00:00,25.8,77.4,1177,5.94,1.9,0.665,0.1109,57.07
2026-01-12T10:00:00,24.41,77.2,1095,5.95,1.82,0.9522,0.1048,55.0
2026-01-12T11:00:00,24.11,73.8,1075,6.01,1.87,0.7903,0.0989,52.59
2026-01-12T12:00:00,23.62,75.2,999,6.02,1.91,0.7736,0.0987,50.0
2026-01-12T13:00:00,24.72,74.2,915,5.93,1.8,1.0178,0.1019,47.41
2026-01-12T14:00:00,23.06,73.4,897,6.0,1.76,0.7779,0.094,45.0
2026-01-12T15:00:00,22.81,72.2,898,5.97,1.74,0.9213,0.0915,42.93
2026-01-12T16:00:00,22.22,72.3,816,6.0,1.86,0.8631,0.0893,41.34
2026-01-12T17:00:00,22.01,71.1,774,6.05,1.8,0.8236,0.087,40.34
2026-01-12T18:00:00,22.61,69.0,798,6.16,1.81,0.8024,0.0866,40.0
2026-01-12T19:00:00,22.07,68.8,774,5.85,1.88,0.9963,0.0844,40.34
2026-01-12T20:00:00,22.59,70.2,823,5.92,1.79,0.7496,0.0881,41.34
2026-01-12T21:00:00,22.48,72.2,859,6.01,1.8,0.7822,0.0901,42.93
2026-01-12T22:00:00,23.47,72.8,879,6.04,1.78,0.9906,0.0949,45.0
2026-01-12T23:00:00,23.61,73.8,965,5.86,1.77,0.9136,0.0968,47.41
2026-01-13T00:00:00,23.53,74.5,1005,5.99,1.71,0.9495,0.0973,50.0
2026-01-13T01:00:00,24.12,76.3,1072,6.13,1.82,0.8649,0.1022,52.59
2026-01-13T02:00:00,25.26,78.4,1108,5.91,1.73,0.8313,0.1099,55.0
2026-01-13T03:00:00,25.04,77.9,1153,5.98,1.82,1.2078,0.1084,57.07
2026-01-13T04:00:00,25.57,78.0,1146,6.01,1.76,0.7378,0.1108,58.66
2026-01-13T05:00:00,24.69,80.3,1172,6.23,1.79,0.8539,0.1101,59.66
2026-01-13T06:00:00,25.2,80.2,1205,6.02,1.81,0.7913,0.1123,60.0
2026-01-13T07:00:00,26.03,78.4,1216,5.9,1.88,1.0113,0.1133,59.66
2026-01-13T08:00:00,25.28,80.2,1145,6.04,1.87,0.9184,0.1127,58.66
2026-01-13T09:00:00,26.29,78.2,1104,6.09,1.72,0.8009,0.1143,57.07
2026-01-13T10:00:00,24.65,78.8,1067,5.87,1.85,0.9107,0.1079,55.0
2026-01-13T11:00:00,25.62,76.8,1058,6.09,1.74,0.749,0.1093,52.59
2026-01-13T12:00:00,24.07,74.5,974,5.94,1.84,0.9881,0.0996,50.0
2026-01-13T13:00:00,23.19,73.7,968,6.13,1.87,0.965,0.0949,47.41
2026-01-13T14:00:00,22.59,72.7,909,6.01,1.81,0.756,0.0913,45.0
2026-01-13T15:00:00,22.5,69.8,861,5.93,1.82,1.1271,0.0872,42.93
2026-01-13T16:00:00,21.82,71.3,831,5.98,1.88,0.8097,0.0864,41.34
2026-01-13T17:00:00,21.78,70.5,777,5.91,1.76,0.9259,0.0853,40.34
